neighborhood,month,theft_count,lon,lat,time_index,month_of_year,year
Roncesvalles (86),2014-01-01,0,-79.44299244306902,43.64612298805443,1,1,2014
Rosedale-Moore Park (98),2014-01-01,0,-79.37966939989423,43.6828204124932,1,1,2014
Rouge (131),2014-01-01,0,-79.18634336248219,43.82120115363213,1,1,2014
Runnymede-Bloor West Village (89),2014-01-01,0,-79.48570817771532,43.65926881162892,1,1,2014
Rustic (28),2014-01-01,0,-79.49809146920876,43.71160911048926,1,1,2014
Scarborough Village (139),2014-01-01,0,-79.2168126191311,43.73865184898304,1,1,2014
South Parkdale (85),2014-01-01,0,-79.4393378322998,43.636699519318434,1,1,2014
South Riverdale (70),2014-01-01,3,-79.33565132290826,43.6492919996662,1,1,2014
St.Andrew-Windfields (40),2014-01-01,0,-79.37903710013872,43.75624582245125,1,1,2014
Steeles (116),2014-01-01,0,-79.32120701072853,43.81295881783217,1,1,2014
Stonegate-Queensway (16),2014-01-01,0,-79.50112821107008,43.63551811593917,1,1,2014
Tam O'Shanter-Sullivan (118),2014-01-01,0,-79.30291871972979,43.78012984045799,1,1,2014
Taylor-Massey (61),2014-01-01,0,-79.2959011185942,43.69499818569401,1,1,2014
The Beaches (63),2014-01-01,0,-79.29960131609589,43.67104998326742,1,1,2014
Thistletown-Beaumond Heights (3),2014-01-01,0,-79.56349101320373,43.737987910453754,1,1,2014
Thorncliffe Park (55),2014-01-01,0,-79.34998360500312,43.70774920521462,1,1,2014
Trinity-Bellwoods (81),2014-01-01,1,-79.4153421638998,43.65017629672643,1,1,2014
University (79),2014-01-01,0,-79.40117974868369,43.66250619981047,1,1,2014
Victoria Village (43),2014-01-01,0,-79.31487382056616,43.72848900069367,1,1,2014
Waterfront Communities-The Island (77),2014-01-01,5,-79.3772023229936,43.63388032715952,1,1,2014
West Hill (136),2014-01-01,0,-79.17667602852293,43.767490240825325,1,1,2014
West Humber-Clairville (1),2014-01-01,0,-79.59635638981665,43.71618025578886,1,1,2014
Westminster-Branson (35),2014-01-01,0,-79.45241822037676,43.77881319903913,1,1,2014
Weston (113),2014-01-01,0,-79.51572254704779,43.70271604054647,1,1,2014
Weston-Pellam Park (91),2014-01-01,0,-79.46024390773562,43.673962032485946,1,1,2014
Wexford/Maryvale (119),2014-01-01,1,-79.29863655575355,43.7485720898956,1,1,2014
Willowdale East (51),2014-01-01,1,-79.40148379055928,43.770602244553096,1,1,2014
Willowdale West (37),2014-01-01,0,-79.42755780279825,43.77121048659164,1,1,2014
Willowridge-Martingrove-Richview (7),2014-01-01,0,-79.55422105562268,43.68364495301322,1,1,2014
Woburn (137),2014-01-01,0,-79.22858575507915,43.76674020159054,1,1,2014
Woodbine Corridor (64),2014-01-01,0,-79.31540737735443,43.67677291736932,1,1,2014
Woodbine-Lumsden (60),2014-01-01,0,-79.31116352540957,43.69410673833721,1,1,2014
Wychwood (94),2014-01-01,0,-79.42551494769461,43.67691926447834,1,1,2014
Yonge-Eglinton (100),2014-01-01,0,-79.40359016622641,43.70468936092784,1,1,2014
Yonge-St.Clair (97),2014-01-01,0,-79.39787076624125,43.68785886372433,1,1,2014
York University Heights (27),2014-01-01,0,-79.48888293166782,43.76573645429017,1,1,2014
Yorkdale-Glen Park (31),2014-01-01,0,-79.45710807275005,43.71467151108852,1,1,2014
Agincourt North (129),2014-02-01,0,-79.26671216328295,43.805440562864696,2,2,2014
Agincourt South-Malvern West (128),2014-02-01,0,-79.2656118002269,43.788657536163946,2,2,2014
Alderwood (20),2014-02-01,0,-79.54161093042093,43.60493688403101,2,2,2014
Annex (95),2014-02-01,0,-79.40400062928025,43.67158543003155,2,2,2014
Banbury-Don Mills (42),2014-02-01,0,-79.34971796126571,43.73765697400432,2,2,2014
Bathurst Manor (34),2014-02-01,0,-79.45605514611319,43.76481328101867,2,2,2014
Bay Street Corridor (76),2014-02-01,0,-79.38572124534863,43.657511330997565,2,2,2014
Bayview Village (52),2014-02-01,0,-79.37711685879394,43.776360508669505,2,2,2014
Bayview Woods-Steeles (49),2014-02-01,0,-79.3821179554524,43.796801856085374,2,2,2014
Bedford Park-Nortown (39),2014-02-01,1,-79.42022735886505,43.73148619626069,2,2,2014
Beechborough-Greenbrook (112),2014-02-01,0,-79.47947250865478,43.69321648359968,2,2,2014
Bendale (127),2014-02-01,0,-79.25740036192514,43.760366271465735,2,2,2014
Birchcliffe-Cliffside (122),2014-02-01,0,-79.26509262187423,43.69468193885,2,2,2014
Black Creek (24),2014-02-01,0,-79.52197931718258,43.76489023887292,2,2,2014
Blake-Jones (69),2014-02-01,0,-79.3373941737337,43.676172877463664,2,2,2014
Briar Hill-Belgravia (108),2014-02-01,0,-79.45285129984684,43.69902437760449,2,2,2014
Bridle Path-Sunnybrook-York Mills (41),2014-02-01,0,-79.37890416227515,43.73101311194996,2,2,2014
Broadview North (57),2014-02-01,0,-79.35562951364216,43.68882511190598,2,2,2014
Brookhaven-Amesbury (30),2014-02-01,0,-79.48558926457817,43.70132629947939,2,2,2014
Cabbagetown-South St.James Town (71),2014-02-01,2,-79.36610665903528,43.66764772385686,2,2,2014
Caledonia-Fairbank (109),2014-02-01,0,-79.4552120795635,43.688568647155336,2,2,2014
Casa Loma (96),2014-02-01,0,-79.40800664807479,43.68185209508544,2,2,2014
Centennial Scarborough (133),2014-02-01,0,-79.15084326996072,43.78237648034414,2,2,2014
Church-Yonge Corridor (75),2014-02-01,3,-79.37901716162628,43.65964884944928,2,2,2014
Clairlea-Birchmount (120),2014-02-01,0,-79.28138177798613,43.71359235501493,2,2,2014
Clanton Park (33),2014-02-01,0,-79.44630257728986,43.741978417593174,2,2,2014
Cliffcrest (123),2014-02-01,0,-79.23552957479994,43.721121141067144,2,2,2014
Corso Italia-Davenport (92),2014-02-01,1,-79.44746932943953,43.67766090308253,2,2,2014
Danforth (66),2014-02-01,0,-79.32981941388597,43.68402547142561,2,2,2014
Danforth East York (59),2014-02-01,0,-79.33140338933542,43.68946809019784,2,2,2014
Don Valley Village (47),2014-02-01,0,-79.35364413195393,43.783293676309825,2,2,2014
Dorset Park (126),2014-02-01,0,-79.2789079328611,43.75927434447322,2,2,2014
Dovercourt-Wallace Emerson-Junction (93),2014-02-01,3,-79.43854070116043,43.6656769257464,2,2,2014
Downsview-Roding-CFB (26),2014-02-01,0,-79.49049738436791,43.733292312253184,2,2,2014
Dufferin Grove (83),2014-02-01,2,-79.43734103751373,43.655428330164874,2,2,2014
East End-Danforth (62),2014-02-01,0,-79.29935867382727,43.68417387262764,2,2,2014
Edenbridge-Humber Valley (9),2014-02-01,0,-79.52245776503415,43.67088588914698,2,2,2014
Eglinton East (138),2014-02-01,0,-79.24559804211357,43.74092229023796,2,2,2014
Elms-Old Rexdale (5),2014-02-01,0,-79.54898271587403,43.72151885714892,2,2,2014
Englemount-Lawrence (32),2014-02-01,0,-79.43740854668668,43.720344647265435,2,2,2014
Eringate-Centennial-West Deane (11),2014-02-01,0,-79.58044525351775,43.65801672874765,2,2,2014
Etobicoke West Mall (13),2014-02-01,0,-79.56893876872303,43.64506261667645,2,2,2014
Flemingdon Park (44),2014-02-01,0,-79.33264596751758,43.71592974897502,2,2,2014
Forest Hill North (102),2014-02-01,0,-79.42814316750712,43.704217556724494,2,2,2014
Forest Hill South (101),2014-02-01,0,-79.41431786345333,43.69452574891732,2,2,2014
Glenfield-Jane Heights (25),2014-02-01,0,-79.51346530987723,43.74563573564186,2,2,2014
Greenwood-Coxwell (65),2014-02-01,0,-79.32431802090154,43.67261230021652,2,2,2014
Guildwood (140),2014-02-01,0,-79.19505535944825,43.74882932678334,2,2,2014
Henry Farm (53),2014-02-01,0,-79.34124066861594,43.771144139011675,2,2,2014
High Park North (88),2014-02-01,1,-79.46630216770625,43.65756491093699,2,2,2014
High Park-Swansea (87),2014-02-01,0,-79.46787222692247,43.64506457452669,2,2,2014
Highland Creek (134),2014-02-01,0,-79.1774724769542,43.79077475905604,2,2,2014
Hillcrest Village (48),2014-02-01,0,-79.35480400470398,43.80298781590062,2,2,2014
Humber Heights-Westmount (8),2014-02-01,0,-79.52241619766016,43.69223279051614,2,2,2014
Humber Summit (21),2014-02-01,0,-79.55617474460846,43.75891973308504,2,2,2014
Humbermede (22),2014-02-01,0,-79.54236711801718,43.7434295073787,2,2,2014
Humewood-Cedarvale (106),2014-02-01,0,-79.42768334947216,43.69136980411722,2,2,2014
Ionview (125),2014-02-01,0,-79.27247049505847,43.7353644000892,2,2,2014
Islington-City Centre West (14),2014-02-01,0,-79.54331653804603,43.633463294702935,2,2,2014
Junction Area (90),2014-02-01,1,-79.47143987276426,43.667889760215104,2,2,2014
Keelesdale-Eglinton West (110),2014-02-01,0,-79.4714371056747,43.68572746919965,2,2,2014
Kennedy Park (124),2014-02-01,0,-79.2603822126536,43.72555571340649,2,2,2014
Kensington-Chinatown (78),2014-02-01,1,-79.39723987739471,43.6535541286232,2,2,2014
Kingsview Village-The Westway (6),2014-02-01,0,-79.54786330865342,43.69899255941022,2,2,2014
Kingsway South (15),2014-02-01,0,-79.51057680194461,43.65352042227594,2,2,2014
L'Amoreaux (117),2014-02-01,0,-79.31408424727546,43.795716009853194,2,2,2014
Lambton Baby Point (114),2014-02-01,0,-79.49604524953277,43.65742012275136,2,2,2014
Lansing-Westgate (38),2014-02-01,0,-79.42474772579611,43.754271137278266,2,2,2014
