task_horizon,fold,train_end,test_start,test_end,model,MAE,RMSE,R2,total_bias,total_actual,total_predicted,nonzero_MAE,nonzero_RMSE,active_MAE,active_RMSE,n_test
12,3,84,85,96,Basis OLS (log),1.3296121547436321,3.1942381098124017,0.500424607141986,-0.5477039808757578,3186,1441.0151169298358,2.6071492060940513,4.583164048189043,2.275878215864915,4.436298604567897,1692
12,3,84,85,96,Basis Ridge (tuned),1.3281808869400709,3.1919747686102995,0.5011323245618713,-0.5454859592706192,3186,1448.0817337638075,2.6013200254587057,4.579667269106396,2.272549146748894,4.433244629661013,1692
12,3,84,85,96,Poisson (compact),1.5048742756160833,3.551197929820322,0.38252948751448723,-0.3804312939334598,3186,1973.945897527997,2.6232908163246336,5.047626598819994,2.472962135198412,4.944756617346026,1692
12,3,84,85,96,"Poisson (area, tuned)",1.2629460184721764,2.538620199030165,0.6844545462535594,-0.20567667745173487,3186,2530.7141056387727,2.008387429275465,3.575509292512272,1.9545392281886314,3.5022519172088677,1692
12,3,84,85,96,Negative-binomial,1.616795158244394,4.174234486847852,0.1468603066273052,-0.6931990970356589,3186,977.467676844391,3.1114866681757576,5.997938033461814,2.7816169668187594,5.833401278435045,1692
12,4,96,97,108,Global mean,2.4558314680683413,4.881889816114852,-0.006044210439240194,0.2144891122278086,2985,3625.2500000000086,2.839056913107363,6.882844840034933,3.001856709522113,6.520308611995049,1692
12,4,96,97,108,Neighbourhood mean,1.576955279747833,3.2604890087443374,0.5512477895993144,0.21448911222780767,2985,3625.250000000006,2.390481274638633,4.576235410671384,2.544044901065449,4.481070232389417,1692
12,4,96,97,108,Recent 12-mo mean,1.498817966903073,3.2256085979894045,0.5607978515807712,0.06733668341708406,2985,3185.999999999996,2.325886990801577,4.586299959747156,2.4227549467275495,4.431084848837261,1692
12,4,96,97,108,Seasonal naive,1.3835697399527225,2.7320226921721806,0.6849280620076444,0.06733668341708543,2985,3186,2.3285151116951366,3.790159469495312,2.1689497716895025,3.661785875646852,1692
12,4,96,97,108,Basis OLS (log),1.1622460683967781,2.9799634799782897,0.625145263101307,-0.3605480290096835,2985,1908.7641334060947,2.2259803566213145,4.394374095927074,1.9347964257237746,4.1010039212424685,1692
12,4,96,97,108,Basis Ridge (tuned),1.1673470684886114,3.008366725509279,0.6179654220842715,-0.37091133478935706,2985,1877.829665653769,2.2445897421575243,4.438434477691388,1.946306205577796,4.1407681957931874,1692
12,4,96,97,108,Poisson (compact),1.4572889396862685,3.6866494640845198,0.42627363056400913,-0.25413940869415075,2985,2226.39386504796,2.557617163634628,5.407271859085741,2.3241741892795824,5.070355476340392,1692
12,4,96,97,108,"Poisson (area, tuned)",1.2123638009861,2.7323301140209004,0.6848571508490089,-0.19931168642718863,2985,2390.054616014842,1.9717773193402677,3.985738600407553,1.8687707706586636,3.7477279967783534,1692
12,4,96,97,108,Negative-binomial,1.450214603661517,3.867320620515996,0.3686626582856586,-0.38550217988365815,2985,1834.2759930472805,2.6759420818780693,5.707911487379422,2.379009877058745,5.336350734127097,1692
12,5,108,109,120,Global mean,2.335806614169118,4.440300760487265,-0.005730498986897148,0.1898597626752789,2987,3554.111111111058,2.599377679818144,6.071355989807199,2.7768250158912102,5.756193081978662,1692
12,5,108,109,120,Neighbourhood mean,1.4664433937483583,2.7598368833189584,0.6114707911668297,0.18985976267529703,2987,3554.111111111112,2.146001578019122,3.779640935369082,2.2045855379188715,3.6618785877332463,1692
12,5,108,109,120,Recent 12-mo mean,1.3770685579196213,2.7117840355814393,0.6248827427325472,-6.695681285569284e-4,2987,2985.0000000000005,2.1221804511278197,3.7516751108759587,2.0955988455988455,3.6008707059917935,1692
12,5,108,109,120,Seasonal naive,1.3711583924349853,2.7829266700838193,0.6049424458292281,-6.695681285570807e-4,2987,2985,2.338345864661655,3.830035630686848,2.044372294372294,3.6236656000454044,1692
12,5,108,109,120,Basis OLS (log),1.231194825322553,2.0823205758567975,0.778816856553205,0.2532276184703261,2987,3743.390896370864,1.6981846294587157,2.7807876357000225,1.7158743861185493,2.694952365054807,1692
12,5,108,109,120,Basis Ridge (tuned),1.211688093873856,2.0609244800205424,0.7833388715700442,0.22262383671386884,2987,3651.977400264326,1.6841796756071057,2.7614511342228116,1.6950977940512384,2.670988963039035,1692
12,5,108,109,120,Poisson (compact),1.9784572815161732,3.6006621429051884,0.3386648743099878,0.5648618350317391,2987,4674.242301239805,2.996519373875035,4.928051281210465,2.877772845582566,4.716271894941143,1692
12,5,108,109,120,"Poisson (area, tuned)",1.1625018452517613,1.9525101617383276,0.8055341032752408,0.11123254919243808,2987,3319.2516244378126,1.6016239930011245,2.6594482418331804,1.6168409768446113,2.547977364503336,1692
12,5,108,109,120,Negative-binomial,3.5230536869054343,7.303966114228068,-1.7212869832574493,1.6945837693603103,2987,8048.721719079247,5.522404747466183,10.182321960900259,5.223255497096834,9.68668647385416,1692
12,6,120,121,132,Global mean,2.189559126804487,3.7525199185544524,-0.015259346009012464,0.2862817212210698,2719,3497.4000000000888,2.3308050457473874,5.038627355941032,2.52641604370328,4.858448867251665,1692
12,6,120,121,132,Neighbourhood mean,1.2567671394799054,2.2850181873734106,0.6235473956225043,0.2862817212210375,2719,3497.400000000001,1.7834499575911789,3.1011425333279723,1.888644894894895,3.068632014422704,1692
12,6,120,121,132,Recent 12-mo mean,1.144208037825059,2.211962872164208,0.6472340575244666,0.09856564913571199,2719,2987.000000000001,1.6922179813401186,3.0720011017272264,1.7347972972972974,2.9848843419024687,1692
12,6,120,121,132,Seasonal naive,1.2328605200945635,2.435212526101435,0.5724324652809547,0.09856564913571166,2719,2987,2.053435114503816,3.350211720931022,1.8941441441441413,3.2236457454087453,1692
12,6,120,121,132,Basis OLS (log),1.1782208040323374,1.9578919505577042,0.7236188462171271,0.3959376870840691,2719,3795.554571181584,1.539728077558571,2.546464658726933,1.6238811736156935,2.5573429275444206,1692
12,6,120,121,132,Basis Ridge (tuned),1.1528845577613591,1.8968951377031562,0.7405715323973536,0.36792401997304996,2719,3719.385410306723,1.5022356034579876,2.4588741802028165,1.587568917365888,2.474548794037486,1692
12,6,120,121,132,Poisson (compact),2.147958227520872,3.956738957010149,-0.12877084013177242,0.9222571868982811,2719,5226.617291176426,3.1270424423834453,5.290185150693391,3.1175522241385494,5.241303689820157,1692
